State,Rank
Alabama,34
Alaska,32
Arizona,40
Arkansas,13
California,35
Colorado,46
Connecticut,33
Delaware,14
Florida,18
Georgia,21
Hawaii,1
Idaho,38
Illinois,31
Indiana,16
Iowa,27
Kansas,39
Kentucky,3
Louisiana,37
Maine,11
Maryland,8
Massachusetts,20
Michigan,15
Minnesota,30
Mississippi,22
Missouri,9
Montana,25
Nebraska,44
Nevada,24
New Hampshire,7
New Jersey,23
New Mexico,42
New York,28
North Carolina,26
North Dakota,49
Ohio,19
Oklahoma,41
Oregon,6
Pennsylvania,29
Rhode Island,17
South Carolina,43
South Dakota,50
Tennessee,10
Texas,45
Utah,48
Vermont,2
Virginia,5
Washington,12
West Virginia,4
Wisconsin,36
Wyoming,47
